timestamp,file,subject_id,response_time,status
2025-04-22T12:46:22.887200,001_nm-02.png,001,0.3917388916015625,success
2025-04-22T12:46:23.478317,001_nm-03.png,001,0.4806642532348633,success
2025-04-22T12:46:24.023330,001_nm-04.png,001,0.43613314628601074,success
2025-04-22T12:46:24.599777,002_nm-01.png,002,0.47126317024230957,success
2025-04-22T12:46:25.287344,002_nm-03.png,002,0.5822303295135498,success
2025-04-22T12:46:25.837471,002_nm-04.png,002,0.4480893611907959,success
2025-04-22T12:46:26.425198,003_nm-02.png,003,0.47757935523986816,success
2025-04-22T12:46:27.045022,003_nm-03.png,003,0.5074403285980225,success
2025-04-22T12:46:27.653937,003_nm-04.png,003,0.49848198890686035,success
2025-04-22T12:46:28.311324,004_nm-02.png,004,0.5469727516174316,success
2025-04-22T12:46:28.964771,004_nm-03.png,004,0.5376043319702148,success
2025-04-22T12:46:29.704157,004_nm-04.png,004,0.632563591003418,success
2025-04-22T12:46:30.380291,005_nm-02.png,005,0.5685431957244873,success
2025-04-22T12:46:31.143144,005_nm-03.png,005,0.6602668762207031,success
2025-04-22T12:46:31.854151,005_nm-04.png,005,0.6009788513183594,success
2025-04-22T12:46:32.638936,006_nm-01.png,006,0.6807353496551514,success
2025-04-22T12:46:33.420743,006_nm-02.png,006,0.6691403388977051,success
2025-04-22T12:46:34.272220,006_nm-03.png,006,0.7422239780426025,success
2025-04-22T12:46:35.088872,007_nm-02.png,007,0.7011175155639648,success
2025-04-22T12:46:35.953984,007_nm-04.png,007,0.7552289962768555,success
2025-04-22T12:46:36.820952,007_nm-06.png,007,0.759605884552002,success
2025-04-22T12:46:37.695588,008_nm-01.png,008,0.7629036903381348,success
2025-04-22T12:46:38.639618,008_nm-04.png,008,0.8327105045318604,success
2025-04-22T12:46:39.542517,008_nm-05.png,008,0.7869617938995361,success
2025-04-22T12:46:40.564106,009_nm-02.png,009,0.9089651107788086,success
2025-04-22T12:46:41.525736,009_nm-03.png,009,0.8588929176330566,success
2025-04-22T12:46:42.482459,009_nm-05.png,009,0.8480734825134277,success
2025-04-22T12:46:43.506138,010_nm-01.png,010,0.9139900207519531,success
2025-04-22T12:46:44.680953,010_nm-02.png,010,1.0692522525787354,success
2025-04-22T12:46:45.859210,010_nm-04.png,010,1.071350336074829,success
2025-04-22T12:46:47.053162,011_nm-02.png,011,1.0926494598388672,success
2025-04-22T12:46:48.331492,011_nm-03.png,011,1.1735925674438477,success
2025-04-22T12:46:48.891446,011_nm-06.png,011,0.45397257804870605,success
2025-04-22T12:46:49.439878,012_nm-01.png,012,0.43004441261291504,success
